time,throughput,inflight,rtt
6475,17,409784,64
6975,43,598024,104
7475,38,344624,97
7975,46,350416,63
8475,49,396752,63
8975,51,414128,66
9475,53,417024,65
9975,55,441640,63
10475,57,463360,64
10975,56,487976,72
11475,56,503904,71
11975,56,496664,73
12475,56,528520,73
12975,52,485080,83
13475,50,492320,84
13975,48,479288,82
14475,48,470600,77
14975,41,483632,96
15475,36,437296,104
15975,30,359104,103
16475,11,85432,77
16975,25,78192,29
17475,24,75296,28
17975,23,76744,27
18475,23,72400,27
18975,22,76744,28
19475,22,75296,28
19975,22,78192,28
20475,22,73848,27
20975,22,76744,27
21475,22,73848,28
21975,22,65160,28
22475,21,73848,28
22975,21,75296,27
23475,21,70952,27
23975,20,70952,27
24475,20,70952,27
24975,20,75296,27
25475,20,68056,28
25975,20,69504,27
26475,17,1448,27
26975,15,63712,20
27475,19,60816,25
27975,20,65160,25
28475,20,65160,25
28975,20,65160,25
29475,20,65160,26
29975,20,63712,25
30475,19,62264,26
30975,19,59368,25
31475,19,62264,26
31975,19,57920,26
32475,19,62264,25
32975,19,60816,25
33475,19,62264,25
33975,19,60816,26
34475,19,63712,26
34975,19,63712,26
35475,19,60816,26
35975,19,60816,26
36475,19,63712,26
36975,11,36200,20
37475,18,52128,26
37975,18,53576,25
38475,19,62264,26
38975,19,59368,26
39475,19,62264,26
39975,19,52128,25
40475,19,60816,25
40975,19,62264,25
41475,19,63712,25
41975,19,60816,25
42475,19,60816,25
42975,19,62264,25
43475,19,60816,25
43975,19,62264,25
44475,19,63712,25
44975,19,63712,26
45475,19,57920,25
45975,19,62264,25
46475,19,62264,25
46975,16,1448,25
47475,14,52128,20
47975,18,60816,25
48475,18,55024,25
48975,18,59368,25
49475,18,50680,26
49975,19,62264,26
50475,19,63712,25
50975,19,62264,25
51475,19,62264,26
51975,19,60816,26
52475,19,62264,26
52975,19,60816,26
53475,19,62264,26
53975,19,63712,26
54475,19,63712,26
54975,19,60816,26
55475,19,60816,26
55975,19,59368,26
56475,19,60816,26
56975,19,56472,26
57475,13,49232,19
57975,21,66608,24
58475,20,62264,25
58975,20,65160,25
59475,20,60816,25
59975,20,62264,25
60475,23,65160,21
60975,23,65160,24
61475,23,65160,24
61975,23,75296,24
62475,38,124528,19
62975,40,127424,24
63475,41,114392,24
63975,41,123080,23
64475,72,120184,14
64975,79,134664,14
65475,79,125976,14
65975,79,157832,14
