time,throughput,inflight,rtt
375,68,133216,21
875,79,130320,13
1375,79,130320,13
1875,79,128872,13
2375,52,154936,30
2875,37,114392,28
3375,30,94120,26
3875,25,76744,26
4375,15,62264,38
4875,6,36200,68
5375,6,27512,44
5875,5,26064,40
6375,5,24616,40
6875,2,24616,92
7375,1,13032,100
7875,2,14480,58
8375,2,17376,57
8875,2,15928,61
9375,2,15928,60
9875,2,15928,60
10375,1,28960,59
10875,5,46336,69
11375,7,70952,71
11875,8,82536,73
12375,11,105704,71
12875,13,130320,81
13375,14,134664,84
13875,15,159280,82
14375,17,182448,77
14875,20,238920,93
15375,21,280912,103
15875,24,318560,103
16375,27,60816,80
16875,25,79640,27
17375,22,73848,28
17875,21,63712,27
18375,20,68056,27
18875,19,65160,28
19375,18,65160,28
19875,18,62264,28
20375,18,62264,27
20875,18,56472,27
21375,18,62264,27
21875,18,62264,27
22375,18,60816,28
22875,18,55024,27
23375,18,60816,27
23875,18,59368,27
24375,17,52128,27
24875,17,60816,27
25375,17,57920,28
25875,17,57920,27
26375,17,57920,27
26875,12,63712,18
27375,19,59368,26
27875,19,59368,25
28375,19,55024,25
28875,19,60816,25
29375,19,62264,25
29875,19,59368,26
30375,19,62264,26
30875,19,56472,26
31375,19,62264,25
31875,19,56472,25
32375,19,62264,26
32875,19,59368,26
33375,19,63712,26
33875,19,57920,26
34375,19,62264,26
34875,19,55024,26
35375,19,60816,26
35875,19,53576,26
36375,19,60816,26
36875,12,23168,22
37375,21,65160,23
37875,20,66608,26
38375,20,60816,26
38875,20,65160,26
39375,20,56472,26
39875,20,66608,25
40375,20,60816,25
40875,20,60816,25
41375,20,62264,25
41875,20,59368,25
42375,20,62264,25
42875,20,59368,25
43375,19,60816,25
43875,19,57920,25
44375,19,60816,25
44875,19,55024,26
45375,19,63712,25
45875,19,60816,25
46375,19,62264,25
46875,19,52128,25
47375,13,63712,18
47875,19,59368,26
48375,19,60816,25
48875,19,62264,25
49375,20,63712,26
49875,20,60816,26
50375,20,65160,25
50875,20,56472,25
51375,20,66608,26
51875,20,56472,26
52375,20,66608,26
52875,20,59368,26
53375,20,65160,26
53875,20,60816,26
54375,20,63712,26
54875,20,63712,26
55375,20,65160,26
55875,20,63712,26
56375,20,66608,26
56875,20,66608,26
57375,12,24616,22
57875,19,59368,22
58375,18,56472,25
58875,19,60816,25
59375,18,55024,25
59875,18,56472,25
