time,throughput,inflight,rtt
82,67,1448,0
582,79,0,0
1082,79,0,0
1582,79,0,0
2082,51,1448,0
2582,37,1448,0
3082,30,1448,0
3582,26,1448,0
4082,14,0,0
4582,7,0,0
5082,6,0,0
5582,5,0,0
6082,5,0,0
6582,2,0,0
7082,1,0,0
7582,2,1448,0
8082,2,0,0
8582,2,0,0
9082,2,0,0
9582,2,0,0
10082,1,0,2
10582,4,0,0
11082,6,1448,0
11582,8,1448,0
12082,10,1448,0
12582,12,1448,0
13082,14,1448,0
13582,15,0,0
14082,17,0,0
14582,19,0,0
15082,21,0,0
15582,23,0,0
16082,31,0,0
16582,25,1448,0
17082,22,1448,0
17582,21,1448,0
18082,20,1448,0
18582,19,2896,0
19082,18,0,0
19582,18,0,0
20082,18,0,0
20582,18,1448,0
21082,18,0,0
21582,18,1448,0
22082,18,0,0
22582,18,1448,0
23082,18,0,0
23582,18,1448,0
24082,17,0,0
24582,17,0,0
25082,17,1448,0
25582,17,1448,0
26082,17,1448,0
26582,12,1448,0
27082,19,0,0
27582,19,1448,0
28082,19,0,0
28582,19,0,0
29082,19,1448,0
29582,19,0,0
30082,19,0,0
30582,19,1448,0
31082,19,1448,0
31582,19,0,0
32082,19,1448,0
32582,19,0,0
33082,19,1448,0
33582,19,0,0
34082,19,1448,0
34582,19,0,0
35082,19,0,0
35582,19,1448,0
36082,19,1448,0
36582,13,0,0
37082,21,0,0
37582,20,0,0
38082,20,0,0
38582,20,0,0
39082,20,1448,0
39582,20,1448,0
40082,20,0,0
40582,20,0,0
41082,20,0,0
41582,20,1448,0
42082,20,1448,0
42582,19,1448,0
43082,19,1448,0
43582,19,0,0
44082,19,0,0
44582,19,1448,0
45082,19,0,0
45582,19,0,0
46082,19,0,0
46582,19,0,0
47082,13,0,0
47582,19,0,0
48082,19,1448,0
48582,19,0,0
49082,20,1448,0
49582,20,0,0
50082,20,0,0
50582,20,1448,0
51082,20,0,0
51582,20,0,0
52082,20,8688,0
52582,20,1448,0
53082,20,1448,0
53582,20,1448,0
54082,20,1448,0
54582,20,1448,0
55082,20,0,0
55582,20,1448,0
56082,20,1448,0
56582,20,1448,0
57082,13,1448,0
57582,19,0,0
58082,18,0,0
58582,19,1448,0
59082,18,0,0
59582,18,0,0
