time,throughput,inflight,rtt
2155,27,0,0
2655,41,1448,0
3155,48,0,0
3655,53,1448,0
4155,38,1448,0
4655,23,0,0
5155,18,1448,0
5655,14,0,0
6155,11,0,0
6655,4,0,0
7155,4,0,0
7655,3,0,0
8155,3,0,0
8655,2,1448,0
9155,2,0,0
9655,2,1448,0
10155,2,0,0
10655,2,0,0
11155,2,0,0
11655,2,0,0
12155,1,0,0
12655,4,0,1
13155,6,0,1
13655,8,1448,0
14155,9,1448,0
14655,10,1448,0
15155,12,0,0
15655,13,0,0
16155,18,1448,0
16655,16,1448,0
17155,17,0,0
17655,18,0,0
18155,19,0,0
18655,20,0,0
19155,20,1448,0
19655,20,0,0
20155,20,0,0
20655,20,0,0
21155,20,0,0
21655,20,0,0
22155,20,1448,0
22655,20,0,0
23155,20,1448,0
23655,21,0,0
24155,22,1448,0
24655,22,0,0
25155,22,0,0
25655,22,1448,0
26155,22,1448,0
26655,14,0,0
27155,20,0,0
27655,20,1448,0
28155,20,0,0
28655,20,1448,0
29155,20,0,0
29655,20,1448,0
30155,20,0,0
30655,20,1448,0
31155,20,0,0
31655,20,1448,0
32155,19,1448,0
32655,19,1448,0
33155,19,0,0
33655,19,0,0
34155,19,1448,0
34655,19,1448,0
35155,19,0,0
35655,19,1448,0
36155,19,1448,0
36655,13,0,0
37155,18,0,0
37655,19,0,0
38155,19,0,0
38655,19,1448,0
39155,19,0,0
39655,19,1448,0
40155,19,0,0
40655,19,1448,0
41155,19,1448,0
41655,19,1448,0
42155,19,0,0
42655,19,0,0
43155,20,1448,0
43655,20,1448,0
44155,20,0,0
44655,20,0,0
45155,20,1448,0
45655,20,1448,0
46155,20,1448,0
46655,20,1448,0
47155,13,0,0
47655,20,1448,0
48155,20,1448,0
48655,19,0,0
49155,19,0,0
49655,19,1448,0
50155,19,1448,0
50655,19,1448,0
51155,19,1448,0
51655,19,1448,0
52155,19,1448,0
52655,19,0,0
53155,19,0,0
53655,19,0,0
54155,19,0,0
54655,19,1448,0
55155,19,1448,0
55655,19,0,0
56155,19,0,0
56655,19,0,0
57155,12,0,0
57655,19,0,0
58155,19,0,0
58655,19,0,0
59155,19,1448,0
59655,19,1448,0
60155,28,0,0
60655,31,1448,0
61155,31,0,0
61655,31,1448,0
