time,throughput,inflight,rtt
4656,29,1448,0
5156,49,0,0
5656,54,0,0
6156,58,1448,0
6656,55,1448,0
7156,33,1448,0
7656,30,0,0
8156,27,1448,0
8656,25,0,0
9156,22,0,0
9656,20,0,0
10156,19,0,0
10656,17,0,0
11156,15,0,0
11656,13,1448,0
12156,11,1448,0
12656,10,0,0
13156,8,1448,0
13656,7,0,0
14156,6,0,0
14656,3,1448,1
15156,7,0,0
15656,8,0,0
16156,9,0,0
16656,12,0,0
17156,11,0,0
17656,14,1448,0
18156,15,1448,0
18656,16,1448,0
19156,16,1448,0
19656,17,1448,0
20156,17,0,0
20656,18,0,0
21156,18,0,0
21656,18,0,0
22156,18,0,0
22656,18,0,0
23156,18,0,0
23656,19,0,0
24156,19,0,0
24656,18,1448,0
25156,18,0,0
25656,18,0,0
26156,18,0,0
26656,19,1448,0
27156,12,0,0
27656,19,0,0
28156,18,0,0
28656,18,1448,0
29156,18,1448,0
29656,18,0,0
30156,18,0,0
30656,19,0,0
31156,19,1448,0
31656,19,0,0
32156,19,1448,0
32656,20,0,0
33156,20,1448,0
33656,20,1448,0
34156,20,1448,0
34656,20,1448,0
35156,20,0,0
35656,20,1448,0
36156,20,1448,0
36656,20,1448,0
37156,13,0,0
37656,20,1448,0
38156,20,0,0
38656,20,0,0
39156,19,1448,0
39656,19,0,0
40156,19,1448,0
40656,19,0,0
41156,19,0,0
41656,19,0,0
42156,19,1448,0
42656,19,0,0
43156,19,1448,0
43656,19,0,0
44156,19,0,0
44656,19,1448,0
45156,19,0,0
45656,19,0,0
46156,19,1448,0
46656,19,0,0
47156,19,0,0
47656,14,1448,0
48156,20,1448,0
48656,20,1448,0
49156,20,0,0
49656,20,0,0
50156,19,1448,0
50656,19,0,0
51156,19,0,0
51656,19,0,0
52156,19,1448,0
52656,19,0,0
53156,19,1448,0
53656,19,0,0
54156,19,1448,0
54656,19,0,0
55156,19,1448,0
55656,19,1448,0
56156,19,0,0
56656,19,0,0
57156,19,0,0
57656,12,1448,0
58156,19,0,0
58656,19,0,0
59156,19,0,0
59656,20,1448,0
60156,20,0,0
60656,24,0,0
61156,24,0,0
61656,23,1448,0
62156,24,1448,0
62656,35,1448,0
63156,38,1448,0
63656,37,1448,0
64156,37,1448,0
